1.台北市葬儀公司,德國 雙人牌 Zwilling修容組,1
2.慈輝印刷,2000,2
3.天鷹保全,3000,1
4.台中銀租賃,3000,1
5.台灣歐力士資產股份有限公司,3000,1
6.淨禾公司,3000,1
7.慶豐公司,3000,1
8.台欣公司,3000,1
9.宜鑫水電行,3000,1
10.勤旺五金行,3000,1
11.上介美花坊,3000,1
12.鮮淳水果廣場,3000,1
13.艦麒有限公司,3000,1
14.聯邦保全(股)公司,3000,1
15.祥勝行銷有限公司,3000,5
16.安泰銀行,5000,1
17.吉慶禮品行,5000,1
18.勤業眾信聯合會計師事務所,5000,2
19.長青聯合會計師事務所,5000,2
20.駿昇棚架舞台企業社,5000,3
21.臺灣工銀租賃股份有限公司,6000,1
22.華茂企業社,6000,1
23.芝農商行,6000,1
24.合億公司,6000,1
25.伯峰公司,6000,1
26.源春香舖,6000,1
27.東言金元寶企業有限公司,6000,1
28.震旦行股份有限公司,coway格威空氣清淨機$7999,1
29.九景企業,8000,2
30.文境通運,8000,2
31.幸福一百,8800,1
32.吉研公司,10000,1
33.合谷,10000,1
34.宏昌殯儀,10000,1
35.慧如公司,10000,1
36.祥安公司,10000,1
37.恆安公司,10000,1
38.慈佑國際股份有限公司,10000,1
39.圓鼎企業社,10000,1
40.富益國際事業有限公司,10000,1
41.工作群,10000,1
42.程暐石材,10000,1
43.源福公司,10000,2
44.乙泰通運,10000,2
45.志成公司,10000,2
46.寶筑,10000,2
47.惠安地政士事務所,10000,3
48.展雲事業(股)公司,10000,3
49.名人國際股份有限公司,10000,3
50.寶塚股份有限公司,10000,4
51.百巨物業管理有限公司,10000,5
52.萬逸開發有限公司,Dyson Supersonic HD03 吹風機,1
53.祐貞有限公司,Dyson Supersonic HD03 吹風機,1
54.盈兆開發有限公司,Dyson Supersonic HD03 吹風機,1
55.鳴展國際有限公司,Dyson Supersonic HD03 吹風機,1
56.花漾,12000,1
57.三折券(三),六樓景義區$108000,1
58.三折券(二),六樓景義區$108000,1
59.三折券(一),懷愛樓福區$123000,1
60.二折券(三),六樓景義區$72000,1
61.二折券(二),懷愛樓福區$82000,1
62.二折券(一),懷愛樓福區$82000,1
63.一折券(三),景愛觀音區$36000,1
64.一折券(二),六樓景義區$36000,1
65.一折券(一),懷愛樓福區$41000,1
66.一路發(三),景愛觀音區$16800,1
67.一路發(二),六樓景義區$16800,1
68.一路發(一),懷愛樓福區$16800,1
2-2.我的最愛集團,真心真鑽項鍊,10
2-3.我的最愛集團,真心真鑽項鍊30分,1
2-1.台北市葬儀,6000,2
